MedCodeId	Term	Observations
197984010	Type 1 diabetes mellitus	3000000
1658861000000113	Type I diabetic dietary review	90000
494564012	Type I diabetes mellitus	80000
84281000006115	Type 1 diabetes mellitus	30000
84651000006114	Type I diabetes mellitus	20000
928501000006119	Ketoacidosis in type 1 diabetes mellitus	20000
479511000000117	Diabetes type 1 review	10000
616621000006115	Type 1 diabetes mellitus without complication	10000
299601000000114	Gastroparesis with type 1 diabetes mellitus	7000
1780311019	Type 1 diabetes mellitus with persistent microalbuminuria	4000
928461000006119	Persistent proteinuria associated with type 1 diabetes mellitus	4000
913661000006118	Retinopathy with type 1 diabetes mellitus	2000
913451000006117	Type 1 diabetes mellitus with renal complications	2000
292548017	Type 1 diabetes mellitus - poor control	2000
84661000006111	Type I diabetes mellitus poorly controlled	2000
616641000006110	"Diabetes mellitus, juvenile type, with ketoacidosis"	1000
913841000006116	Renal disorder associated with type 1 diabetes mellitus	1000
913541000006118	Type 1 diabetes mellitus with multiple complications	1000
7480691000006118	H/O diabetes mellitus type 1	800
928521000006112	Ketoacidotic coma in type 1 diabetes mellitus	800
1665751000000119	Type 1 diabetic dietary review	800
928511000006116	Type I diabetes mellitus with ketoacidosis	700
84291000006117	Type 1 diabetes mellitus - poor control	700
7098211000006116	Dietary education for type 1 diabetes mellitus	700
8232101000006117	Referral to type I diabetes structured education programme	600
938301000006114	Exudative maculopathy with type 1 diabetes mellitus	500
1667941000000112	Type I diabetes mellitus with gastroparesis	400
429971019	Unstable type 1 diabetes mellitus	400
457326014	Type 1 diabetes mellitus without complication	400
84741000006118	Type I diabetes mellitus with nephropathy	400
913481000006113	Type 1 diabetes mellitus with ophthalmic complications	400
292540012	Type 1 diabetes mellitus with ulcer	300
459161015	Type 1 diabetes mellitus with hypoglycaemic coma	300
84731000006111	Multiple complications of type 1 diabetes mellitus	300
2288011000000114	Type I diabetes mellitus in remission	200
459296014	Type 1 diabetes mellitus with neuropathic arthropathy	200
292541011	Type 1 diabetes mellitus with gangrene	200
84371000006110	Type 1 diabetes mellitus with nephropathy	200
616601000006113	"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	200
928491000006110	Type I diabetes mellitus with persistent microalbuminuria	100
616671000006119	"Diabetes mellitus, juvenile, + neurological manifestation"	100
913511000006117	Type 1 diabetes mellitus with neurological complications	100
2288041000000110	Type 1 diabetes mellitus in remission	100
84761000006119	Type I diabetes mellitus with neuropathic arthropathy	100
14083741000006114	Ketoacidosis due to type 1 diabetes mellitus	100
84811000006114	Type I diabetes mellitus with retinopathy	100
616661000006114	"Diabetes mellitus, juvenile type, with renal manifestation"	100
7287611000006113	Type 1 diabetes mellitus uncontrolled	100
8006221000006115	Microalbuminuria due to type 1 diabetes mellitus	90
14083781000006115	Persistent proteinuria due to type 1 diabetes mellitus	90
616611000006111	Disorder due to type 1 diabetes mellitus	90
913811000006115	Type 1 diabetes mellitus with polyneuropathy	90
457325013	Type I diabetes mellitus without complication	90
14083901000006110	Persistent microalbuminuria due to type 1 diabetes mellitus	90
84401000006113	Type 1 diabetes mellitus with ophthalmic complications	80
3253231000006110	Diabetes mellitus type I	70
84711000006117	Type I diabetes mellitus with hypoglycaemic coma	70
429970018	Unstable type I diabetes mellitus	60
913671000006113	Type I diabetes mellitus with retinopathy	60
8043321000006114	Hyperlipidaemia due to type 1 diabetes mellitus	50
